Date,Open,High,Low,Close,Volume,Adj Close
2014-04-21,79.96,79.98,78.69,79.11,7080300,79.11
2014-04-17,78.70,80.22,78.60,79.99,7627700,79.99
2014-04-16,78.38,78.98,78.19,78.95,5958800,78.95
2014-04-15,77.89,78.21,76.31,77.66,6398700,77.66
2014-04-14,77.70,77.83,76.85,77.62,5964700,77.62
2014-04-11,77.51,77.95,76.81,77.01,9204100,77.01
2014-04-10,80.92,80.92,77.48,77.51,10160200,77.51
2014-04-09,79.97,80.53,79.26,80.47,7004800,80.47
2014-04-08,79.27,79.65,78.12,79.57,7085100,79.57
2014-04-07,80.42,80.80,78.56,79.13,9000800,79.13
2014-04-04,82.32,82.85,80.40,80.43,8894400,80.43
2014-04-03,81.92,82.24,81.14,81.69,4930100,81.69
2014-04-02,81.72,81.97,81.30,81.67,6073500,81.67
2014-04-01,80.39,81.61,80.39,81.57,6555000,81.57
2014-03-31,79.70,80.39,79.66,80.07,6848800,80.07
2014-03-28,78.73,79.46,78.31,78.99,5281700,78.99
2014-03-27,78.30,78.61,77.28,78.48,9194700,78.48
2014-03-26,79.93,80.24,78.61,78.62,6750800,78.62
2014-03-25,80.24,80.34,78.60,79.55,6692400,79.55
2014-03-24,80.71,80.93,79.38,79.49,7642900,79.49
2014-03-21,81.96,82.05,80.05,80.35,7840900,80.35
2014-03-20,80.59,81.02,79.76,80.81,5968200,80.81
2014-03-19,82.25,82.30,80.04,80.52,6403200,80.52
2014-03-18,81.53,82.25,81.28,81.99,5395900,81.99
2014-03-17,80.50,81.60,80.31,81.39,7280700,81.39
2014-03-14,79.85,80.41,79.57,80.07,7754700,80.07
2014-03-13,81.75,81.98,79.66,79.93,8570600,79.93
2014-03-12,80.59,81.39,80.05,81.38,6378300,81.38
2014-03-11,82.19,82.33,80.72,81.05,7171600,81.05
2014-03-10,82.18,82.43,81.69,81.97,5209700,81.97
2014-03-07,83.60,83.65,82.02,82.21,7478100,82.21
2014-03-06,82.86,83.42,82.84,83.34,5774400,83.34
2014-03-05,82.22,83.21,82.02,82.68,7709700,82.68
2014-03-04,80.60,82.17,80.54,81.71,8021400,81.71
2014-03-03,80.30,80.65,78.85,79.46,8449400,79.46
2014-02-28,80.84,81.59,80.17,80.81,7030700,80.81
2014-02-27,80.00,80.59,79.86,80.48,4919800,80.48
2014-02-26,80.63,80.95,79.59,80.08,5775600,80.08
2014-02-25,80.72,81.35,80.04,80.21,6064300,80.21
2014-02-24,80.50,81.59,80.46,80.73,6635200,80.73
2014-02-21,79.07,80.45,78.80,80.13,8252300,80.13
2014-02-20,79.21,79.65,78.84,79.19,5748700,79.19
2014-02-19,79.50,79.78,78.80,78.87,7024000,78.87
2014-02-18,79.50,80.00,79.43,79.58,6136500,79.58
2014-02-14,77.88,79.47,77.77,79.23,7001100,79.23
2014-02-13,77.52,78.24,77.20,77.90,5955400,77.90
2014-02-12,77.66,78.01,77.64,77.91,6329500,77.91
2014-02-11,77.15,77.92,77.11,77.79,8186200,77.79
2014-02-10,75.67,77.31,75.57,77.06,8781600,77.06
2014-02-07,75.08,75.70,74.61,75.67,11480100,75.67
2014-02-06,75.61,76.73,74.78,75.56,19821900,75.56
2014-02-05,72.05,72.05,70.37,71.76,11573300,71.76
2014-02-04,70.94,71.25,69.88,71.05,11278800,71.05
2014-02-03,72.66,72.73,69.85,69.99,11964800,69.99
2014-01-31,72.20,73.32,71.80,72.61,7748500,72.61
2014-01-30,72.09,73.63,72.00,73.22,7550500,73.22
2014-01-29,71.97,72.24,71.12,71.33,8604800,71.33
2014-01-28,72.26,73.00,72.24,72.88,5508400,72.88
2014-01-27,72.47,72.91,71.72,72.25,7415100,72.25
2014-01-24,74.10,74.23,72.72,72.72,7334900,72.72
2014-01-23,74.53,74.95,74.15,74.79,6280900,74.79
2014-01-22,74.08,75.43,74.05,75.31,6795100,75.31
2014-01-21,73.99,74.88,73.30,74.20,7507100,74.20
2014-01-17,74.43,74.63,73.68,73.98,6624800,73.98
2014-01-16,74.39,74.40,73.72,74.21,5597400,74.21
2014-01-15,74.30,75.10,74.25,74.28,7283900,74.28
2014-01-14,73.71,74.58,73.29,74.45,5996500,74.45
2014-01-13,74.90,75.13,73.05,73.27,8232800,73.27
2014-01-10,75.08,75.51,74.56,75.39,6219000,75.39
